"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal"
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","","","E92000001","England","England","Persons","18+ yrs","","","2019","13.8821327715042","13.6438650901795","14.120400452829","13.506492670605558","14.25777287240284","6144702.985432696","","","Cannot be calculated","","","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","","","E12000001","North East region","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","15.2607636677034","14.4468746023712","16.0746527330355","","","326257.4247296442","","","Cannot be calculated","Worse","","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000001","North East region","E06000047","County Durham","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","17.002","14.4619","19.5422","","","72875.1575","","","Cannot be calculated","Worse","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000001","North East region","E06000005","Darlington","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","13.7072","11.4042","16.0101","","","11551.5893","","","Cannot be calculated","Similar","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000001","North East region","E08000037","Gateshead","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","17.0934","14.2547","19.9321","","","27805.4784","","","Cannot be calculated","Worse","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000001","North East region","E06000001","Hartlepool","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","19.2639","16.5738","21.9539","","","14179.9553","","","Cannot be calculated","Worse","Worse","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000001","North East region","E06000002","Middlesbrough","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","17.1725","14.5577","19.7872","","","18578.2316","","","Cannot be calculated","Worse","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000001","North East region","E08000021","Newcastle upon Tyne","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","13.0149","10.3948","15.6349","","","31804.2745","","","Cannot be calculated","Similar","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000001","North East region","E08000022","North Tyneside","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","13.9348","11.2716","16.598","","","23140.366","","","Cannot be calculated","Similar","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000001","North East region","E06000057","Northumberland","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","12.8516","10.6114","15.0918","","","33849.1022","","","Cannot be calculated","Similar","Better","20190000","",""
